#cur_kf_id,timestamp_kf,numSF,numValid,numDegenerate,numFarPoints,numOutliers,numCheirality,numNonInitialized,meanPixelError,maxPixelError,meanTrackLength,maxTrackLength,nrElementsInMatrix,nrZeroElementsInMatrix
0,455872000000,0,0,0,0,0,0,0,0,0,0,0,225,204
1,456108000000,0,0,0,0,0,0,0,0,0,0,0,900,306
2,456324000000,299,63,0,0,0,0,236,0,0,2,2,2025,924
3,456560000000,299,47,0,0,0,0,252,0,0,2,2,3600,1992
4,456784000000,368,47,0,0,0,0,321,0,0,2,2,5625,3510
5,456988000000,385,47,0,0,0,0,338,0,0,2,2,8100,5478
6,457264000000,390,47,0,0,0,0,343,0,0,2,2,11025,7896
7,457516000000,390,47,0,0,0,0,343,0,0,2,2,14400,10764
8,457744000000,393,47,0,0,0,0,346,0,0,2,2,18225,14082
9,457984000000,397,47,0,0,0,0,350,0,0,2,2,22500,17850
10,458268000000,397,145,0,0,0,0,252,0,0,4.075862068965517615,9,27225,20052
11,458572000000,405,103,0,0,0,0,302,0,0,2.3398058252427182957,7,32400,25368
12,458848000000,411,102,0,0,0,0,309,0,0,2.3333333333333334814,7,38025,30486
13,459052000000,445,112,0,0,0,0,333,0,0,2.3035714285714283811,7,44100,36054
14,459304000000,446,102,0,0,0,0,344,0,0,2.3333333333333334814,7,50625,42072
15,459552000000,446,102,0,0,0,0,344,0,0,2.3333333333333334814,7,57600,48540
16,459764000000,448,102,0,0,0,0,346,0,0,2.3333333333333334814,7,65025,55458
17,460004000000,448,102,0,0,0,0,346,0,0,2.3333333333333334814,7,72900,62826
18,460244000000,448,102,0,0,0,0,346,0,0,2.3333333333333334814,7,81225,70644
19,460488000000,448,102,0,0,0,0,346,0,0,2.3333333333333334814,7,90000,78912
20,460700000000,448,102,0,0,0,0,346,0,0,2.3333333333333334814,7,99225,87630
21,460968000000,448,102,0,0,0,0,346,0,0,2.3333333333333334814,7,108900,96798
22,461204000000,448,102,0,0,0,0,346,0,0,2.3333333333333334814,7,119025,106416
23,461448000000,458,102,0,0,0,0,356,0,0,2.3333333333333334814,7,129600,116484
24,461740000000,459,102,0,0,0,0,357,0,0,2.3333333333333334814,7,140625,127002
25,461948000000,460,102,0,0,0,0,358,0,0,2.3333333333333334814,7,140625,127002
26,462208000000,162,12,0,0,0,0,150,0,0,4.1666666666666669627,7,140625,127074
27,462428000000,363,12,0,0,0,0,351,0,0,4.1666666666666669627,7,140625,127074
28,462644000000,295,5,0,0,0,0,290,0,0,2.7999999999999998224,4,140625,127002
29,462892000000,279,4,0,0,0,0,275,0,0,2.75,4,140625,127398
30,463108000000,307,3,0,0,0,0,304,0,0,3,4,140625,127722
31,463348000000,317,3,0,0,0,0,314,0,0,3,4,140625,127974
32,463616000000,351,1,0,0,0,0,350,0,0,2,2,140625,128118
33,463824000000,358,0,0,0,0,0,358,0,0,0,0,140625,128190
34,464100000000,379,0,0,0,0,0,379,0,0,0,0,140625,128370
35,464368000000,378,0,0,0,0,0,378,0,0,0,0,140625,128370
36,464592000000,381,0,0,0,0,0,381,0,0,0,0,140625,128370
37,464824000000,382,0,0,0,0,0,382,0,0,0,0,152100,139338
38,465084000000,360,0,0,0,0,0,360,0,0,0,0,140625,128370
39,465288000000,389,0,0,0,0,0,389,0,0,0,0,152100,139338
40,465516000000,390,0,0,0,0,0,390,0,0,0,0,152100,139338
41,465760000000,389,0,0,0,0,0,389,0,0,0,0,152100,139338
42,466000000000,390,0,0,0,0,0,390,0,0,0,0,152100,139338
43,466264000000,391,0,0,0,0,0,391,0,0,0,0,140625,128370
44,466484000000,419,0,0,0,0,0,419,0,0,0,0,152100,139338
45,466752000000,419,0,0,0,0,0,419,0,0,0,0,140625,128370
46,466960000000,536,0,0,0,0,0,536,0,0,0,0,152100,139338
47,467220000000,535,0,0,0,0,0,535,0,0,0,0,140625,128370
48,467476000000,534,0,0,0,0,0,534,0,0,0,0,140625,128370
49,467732000000,562,0,0,0,0,0,562,0,0,0,0,152100,139338
50,467968000000,663,0,0,0,0,0,663,0,0,0,0,140625,128370
51,468228000000,463,0,0,0,0,0,463,0,0,0,0,140625,128370
52,468480000000,462,0,0,0,0,0,462,0,0,0,0,140625,128370
53,468724000000,582,0,0,0,0,0,582,0,0,0,0,140625,128370
54,468960000000,550,0,0,0,0,0,550,0,0,0,0,140625,128370
55,469208000000,570,0,0,0,0,0,570,0,0,0,0,140625,128370
56,469412000000,552,0,0,0,0,0,552,0,0,0,0,140625,128370
57,469624000000,566,0,0,0,0,0,566,0,0,0,0,140625,128370
58,469832000000,562,0,0,0,0,0,562,0,0,0,0,140625,128370
59,470072000000,570,0,0,0,0,0,570,0,0,0,0,152100,139338
60,470276000000,622,0,0,0,0,0,622,0,0,0,0,152100,139338
61,470480000000,639,0,0,0,0,0,639,0,0,0,0,152100,139338
62,470720000000,646,0,0,0,0,0,646,0,0,0,0,152100,139338
63,471000000000,640,0,0,0,0,0,640,0,0,0,0,152100,139338
64,471284000000,649,0,0,0,0,0,649,0,0,0,0,152100,139338
65,471544000000,654,0,0,0,0,0,654,0,0,0,0,140625,128370
66,471776000000,655,0,0,0,0,0,655,0,0,0,0,140625,128370
67,471992000000,657,0,0,0,0,0,657,0,0,0,0,152100,139338
68,472276000000,629,0,0,0,0,0,629,0,0,0,0,140625,128370
69,472480000000,634,0,0,0,0,0,634,0,0,0,0,152100,139338
70,472744000000,639,0,0,0,0,0,639,0,0,0,0,152100,139338
71,472948000000,524,0,0,0,0,0,524,0,0,0,0,152100,139338
72,473192000000,533,0,0,0,0,0,533,0,0,0,0,152100,139338
73,473408000000,547,0,0,0,0,0,547,0,0,0,0,152100,139338
74,473640000000,520,0,0,0,0,0,520,0,0,0,0,152100,139338
75,473884000000,428,0,0,0,0,0,428,0,0,0,0,152100,139338
76,474140000000,477,0,0,0,0,0,477,0,0,0,0,152100,139338
77,474416000000,477,0,0,0,0,0,477,0,0,0,0,152100,139338
78,474688000000,414,0,0,0,0,0,414,0,0,0,0,152100,139338
79,474888000000,469,0,0,0,0,0,469,0,0,0,0,152100,139338
80,475108000000,440,0,0,0,0,0,440,0,0,0,0,152100,139338
81,475336000000,436,0,0,0,0,0,436,0,0,0,0,152100,139338
82,475608000000,420,0,0,0,0,0,420,0,0,0,0,152100,139338
